x,y,z,yaw,velocity,change_flag
26.7799,-52.8491,0.2945,-1.6533,2.075833333,0
26.7499,-53.2455,0.3013,-1.6493,1.953527778,0
26.6979,-53.6588,0.2675,-1.6463,2.179777778,0
26.6616,-54.06,0.3031,-1.6446,2.011583333,0
26.6008,-54.4482,0.2796,-1.6453,2.002555556,0
26.5615,-54.8517,0.2929,-1.6466,1.995527778,0
26.5166,-55.2651,0.2825,-1.6471,2.090194444,0
26.4782,-55.6993,0.2665,-1.6469,2.323833333,0
26.4344,-56.117,0.2957,-1.6481,2.107861111,0
26.3844,-56.546,0.2821,-1.6495,2.239444444,0
26.3421,-56.9846,0.2802,-1.6491,2.28575,0
26.2992,-57.4567,0.2915,-1.6472,2.386527778,0
26.251,-57.9002,0.289,-1.6442,2.162555556,0
26.2181,-58.316,0.2871,-1.6425,2.074888889,0
26.172,-58.7336,0.2797,-1.6395,2.172833333,0
26.1265,-59.1463,0.2816,-1.6356,2.058916667,0
26.104,-59.5516,0.2971,-1.6308,2.076527778,0
26.0643,-59.9208,0.3191,-1.6262,1.828027778,0
26.0188,-60.2774,0.3144,-1.6211,1.876972222,0
26.0067,-60.6354,0.3252,-1.614,1.771666667,0
25.9909,-61.0006,0.3454,-1.6051,1.829583333,0
25.9862,-61.3437,0.3266,-1.5958,1.678805556,0
25.9723,-61.6802,0.319,-1.5853,1.687222222,0
25.9727,-62.0009,0.3078,-1.5714,1.682416667,0
25.9888,-62.3377,0.2284,-1.5526,1.609638889,0
25.9711,-62.675,0.2464,-1.531,1.8055,0
25.9895,-63.03,0.2337,-1.5055,1.8075,0
26.0107,-63.3863,0.2217,-1.4769,1.762444444,0
26.0445,-63.74,0.235,-1.4448,1.765166667,0
26.0752,-64.0922,0.2465,-1.409,1.608194444,0
26.1289,-64.4434,0.2311,-1.3727,1.836361111,0
26.1867,-64.7424,0.2367,-1.3316,1.484305556,0
26.2575,-65.0532,0.2415,-1.2892,1.50975,0
26.3388,-65.3732,0.2445,-1.2439,1.652555556,0
26.4295,-65.67,0.2336,-1.1958,1.606666667,0
26.5847,-66.0672,0.232,-1.1222,1.317083333,0
26.764,-66.4392,0.2614,-1.0466,1.387944444,0
26.9074,-66.7062,0.2788,-0.9968,1.490194444,0
27.1266,-67.066,0.2794,-0.9214,1.529138889,0
27.3878,-67.41,0.2859,-0.8466,1.437555556,0
27.6683,-67.7103,0.2908,-0.772,1.334361111,0
27.8819,-67.9263,0.3034,-0.7211,1.616861111,0
28.1123,-68.1284,0.3141,-0.6688,1.498222222,0
28.3745,-68.3029,0.3133,-0.6157,1.663166667,0
28.6389,-68.5008,0.3295,-0.5644,1.737361111,0
28.9095,-68.6458,0.3115,-0.5162,1.529694444,0
29.2646,-68.8667,0.2973,-0.4515,1.404916667,0
29.6258,-69.0297,0.2904,-0.3913,1.285527778,0
29.9944,-69.1906,0.33,-0.3365,1.412638889,0
30.308,-69.3141,0.3401,-0.2875,1.2835,0
30.6465,-69.4192,0.3707,-0.2455,1.158277778,0
31.0038,-69.536,0.3799,-0.2085,1.271527778,0
31.3477,-69.6028,0.3738,-0.1768,1.328027778,0
31.6951,-69.6802,0.3932,-0.1467,1.242388889,0
32.0954,-69.737,0.4072,-0.1182,1.316111111,0
32.4984,-69.8139,0.4507,-0.0929,1.431055556,0
32.9189,-69.8423,0.4387,-0.0705,1.387944444,0
33.3452,-69.8761,0.4199,-0.0496,1.388361111,0
33.6431,-69.9133,0.4121,-0.0366,1.622666667,0
33.9448,-69.9361,0.4144,-0.0254,1.583222222,0
34.2596,-69.9607,0.4258,-0.0155,1.709055556,0
34.606,-69.9519,0.4231,-0.0071,1.684805556,0
35.0169,-69.9571,0.4197,-0.0013,1.3945,0
35.4133,-69.9738,0.4264,0,1.36725,0
35.7885,-69.9817,0.44,-0.0029,1.290777778,0
36.1743,-70.019,0.4306,-0.0054,1.351861111,0
36.5577,-70.0194,0.4294,-0.0085,1.336916667,0
36.8935,-70.0359,0.4698,-0.0108,1.270527778,0
37.2292,-70.0423,0.4775,-0.0144,1.134611111,0
37.6109,-70.0636,0.4433,-0.0163,1.372638889,0
37.991,-70.0796,0.4687,-0.0181,1.395583333,0
38.4259,-70.1086,0.4971,-0.0188,1.471722222,0
